x,y,z,radius,color,sound
null,null,null,null,null,kick.wav
null,null,null,null,null,hh_open.wav
null,null,null,null,null,hh_closed.wav
null,null,null,null,null,snare.wav
-0.37688156589865685,-109.02363061904907,-5.2022527903318405,1,orange,3-151212-A-24.wav
276.15859508514404,10.980863869190216,188.03642988204956,1,orange,3-151213-A-24.wav
-98.53020906448364,-215.99724292755127,40.114185214042664,1,orange,3-151255-A-28.wav
19.80353444814682,-13.155148923397064,30.07526993751526,1,orange,3-151269-A-35.wav
-103.68314981460571,-32.49188959598541,98.19640517234802,1,orange,3-151273-A-35.wav
162.91680335998535,132.82687664031982,-139.06283378601074,1,orange,3-151557-A-28.wav
-167.3738718032837,1.576065644621849,-55.98918795585632,1,orange,3-151557-B-28.wav
-176.3602375984192,103.78433465957642,48.18820059299469,1,orange,3-152007-A-20.wav
-34.71710681915283,136.6201400756836,-162.11366653442383,1,orange,3-152007-B-20.wav
100.66779851913452,115.66826105117798,25.7047176361084,1,orange,3-152007-C-20.wav
18.991932272911072,0.05888218292966485,33.604082465171814,1,orange,3-152007-D-20.wav
-16.48862361907959,-41.37013256549835,78.04502844810486,1,orange,3-152007-E-20.wav
39.758726954460144,-83.90172123908997,181.1440348625183,1,orange,3-152020-A-36.wav
220.55530548095703,-231.4460039138794,163.44506740570068,1,orange,3-152020-B-36.wav
49.674129486083984,-29.80346977710724,134.35319662094116,1,orange,3-152020-C-36.wav
32.21529424190521,-91.21243357658386,128.30047607421875,1,orange,3-152039-A-3.wav
-10.469009727239609,-129.28177118301392,-17.304062843322754,1,orange,3-152039-B-3.wav
-94.60064768791199,-41.693854331970215,50.18718242645264,1,orange,3-152594-A-30.wav
33.259883522987366,-17.067918181419373,-116.39469861984253,1,orange,3-152912-A-26.wav
48.57002794742584,-98.41941595077515,10.578606277704239,1,orange,3-152997-A-26.wav
-185.96585988998413,29.631048440933228,-62.26317882537842,1,orange,3-153057-A-43.wav
-47.20315635204315,-41.38316512107849,59.852707386016846,1,orange,3-153444-A-32.wav
202.70273685455322,145.94764709472656,-8.477745950222015,1,orange,3-154378-A-30.wav
-20.323744416236877,-134.61941480636597,-205.81939220428467,1,orange,3-154439-A-17.wav
114.80659246444702,223.26979637145996,80.40614128112793,1,orange,3-154758-A-44.wav
-35.949864983558655,-21.334420144557953,-202.93703079223633,1,orange,3-154781-A-32.wav
107.72879123687744,24.705903232097626,48.57155382633209,1,orange,3-154926-A-40.wav
-8.621853590011597,-211.724591255188,114.76795673370361,1,orange,3-154926-B-40.wav
-88.16688060760498,-90.4312252998352,-34.31212306022644,1,orange,3-154957-A-1.wav
-0.44821775518357754,-118.04717779159546,79.27000522613525,1,orange,3-155130-A-43.wav
-249.62544441223145,-56.116753816604614,140.95457792282104,1,orange,3-155234-A-43.wav
-29.63642179965973,34.15413200855255,184.38187837600708,1,orange,3-155312-A-0.wav
