x,y,z,radius,color,sound
146.31448984146118,5.123021453619003,-21.75969034433365,1,orange,3-151212-A-24.wav
90.3030514717102,210.13057231903076,-15.280714631080627,1,orange,3-151213-A-24.wav
-137.99338340759277,-99.03175830841064,161.40698194503784,1,orange,3-151255-A-28.wav
-37.02777624130249,2.4205436930060387,84.26226377487183,1,orange,3-151269-A-35.wav
-1.9146887585520744,-117.34206676483154,43.64264905452728,1,orange,3-151273-A-35.wav
9.29265022277832,1.3610659167170525,-11.57531663775444,1,orange,3-151557-A-28.wav
-93.87269020080566,-81.21217489242554,-53.52783799171448,1,orange,3-151557-B-28.wav
72.51664996147156,10.365428775548935,43.552324175834656,1,orange,3-152007-A-20.wav
-52.2705078125,-168.83481740951538,-133.56221914291382,1,orange,3-152007-B-20.wav
263.7051820755005,129.54440116882324,107.168447971344,1,orange,3-152007-C-20.wav
4.967592656612396,0.8828297257423401,99.52634572982788,1,orange,3-152007-D-20.wav
134.89500284194946,11.119207739830017,-32.29578733444214,1,orange,3-152007-E-20.wav
134.6310257911682,37.21364736557007,-75.07421374320984,1,orange,3-152020-A-36.wav
-65.95293283462524,80.63406348228455,88.1102204322815,1,orange,3-152020-B-36.wav
44.65076923370361,87.30722665786743,-78.68469953536987,1,orange,3-152020-C-36.wav
175.64033269882202,-20.364588499069214,-45.74306607246399,1,orange,3-152039-A-3.wav
-328.2277822494507,-86.04695200920105,-207.80744552612305,1,orange,3-152039-B-3.wav
-1.9652718678116798,-89.75245952606201,196.62216901779175,1,orange,3-152594-A-30.wav
102.35252380371094,-22.060659527778625,-31.871598958969116,1,orange,3-152912-A-26.wav
9.44608598947525,-71.03126049041748,-112.23955154418945,1,orange,3-152997-A-26.wav
-53.79658341407776,-53.86713147163391,129.1185736656189,1,orange,3-153057-A-43.wav
-62.086498737335205,67.77414679527283,160.6828808784485,1,orange,3-153444-A-32.wav
36.37416064739227,-75.8400022983551,-72.4420428276062,1,orange,3-154378-A-30.wav
125.943124294281,-78.85826826095581,-68.48554015159607,1,orange,3-154439-A-17.wav
-270.36306858062744,-130.25633096694946,161.83282136917114,1,orange,3-154758-A-44.wav
